,alpha,sigma,only_negative_disturbances,add_short_timescale,ews,p_linear,p_kendalltau,p_theilsen,p_kendalltau_adj,valid
104,2.0,0.001,False,True,iqr,1.0,1.0,0.41,1.0,1.0
105,2.0,0.001,False,True,iqr_thresh,0.83,0.99,0.44,0.99,1.0
106,2.0,0.001,False,True,std_dev,1.0,1.0,0.68,1.0,1.0
107,2.0,0.001,False,True,std_dev_thresh,1.0,1.0,1.0,1.0,1.0
108,2.0,0.001,True,False,ac1,0.12,0.16,0.08,0.16,1.0
109,2.0,0.001,True,False,ac1_thresh,0.03,0.08,0.02,0.08,1.0
110,2.0,0.001,True,False,iqr,0.13,0.1,0.02,0.1,1.0
111,2.0,0.001,True,False,iqr_thresh,0.13,0.13,0.03,0.13,1.0
112,2.0,0.001,True,False,std_dev,0.14,0.12,0.05,0.12,1.0
113,2.0,0.001,True,False,std_dev_thresh,0.08,0.06,0.01,0.06,1.0
114,2.0,0.001,True,True,ac1,1.0,1.0,1.0,1.0,1.0
115,2.0,0.001,True,True,ac1_thresh,1.0,1.0,1.0,1.0,1.0
116,2.0,0.001,True,True,iqr,1.0,1.0,0.57,1.0,1.0
117,2.0,0.001,True,True,iqr_thresh,1.0,1.0,0.34,1.0,1.0
118,2.0,0.001,True,True,std_dev,1.0,1.0,0.86,1.0,1.0
119,2.0,0.001,True,True,std_dev_thresh,1.0,1.0,1.0,1.0,1.0
120,2.0,0.01,False,False,ac1,0.11,0.22,0.0,0.22,1.0
121,2.0,0.01,False,False,ac1_thresh,0.04,0.18,0.0,0.18,1.0
122,2.0,0.01,False,False,iqr,0.14,0.11,0.05,0.11,1.0
123,2.0,0.01,False,False,iqr_thresh,0.13,0.07,0.03,0.07,1.0
124,2.0,0.01,False,False,std_dev,0.15,0.12,0.06,0.12,1.0
125,2.0,0.01,False,False,std_dev_thresh,0.07,0.02,0.01,0.02,1.0
126,2.0,0.01,False,True,ac1,1.0,1.0,1.0,1.0,1.0
127,2.0,0.01,False,True,ac1_thresh,0.99,1.0,1.0,1.0,1.0
128,2.0,0.01,False,True,iqr,1.0,1.0,0.0,1.0,1.0
129,2.0,0.01,False,True,iqr_thresh,0.82,1.0,0.14,1.0,1.0
130,2.0,0.01,False,True,std_dev,1.0,1.0,0.1,1.0,1.0
131,2.0,0.01,False,True,std_dev_thresh,1.0,1.0,0.77,1.0,1.0
132,2.0,0.01,True,False,ac1,0.14,0.29,0.0,0.29,1.0
133,2.0,0.01,True,False,ac1_thresh,0.07,0.19,0.0,0.19,1.0
134,2.0,0.01,True,False,iqr,0.22,0.19,0.03,0.19,1.0
135,2.0,0.01,True,False,iqr_thresh,0.2,0.2,0.02,0.2,1.0
136,2.0,0.01,True,False,std_dev,0.25,0.21,0.04,0.21,1.0
137,2.0,0.01,True,False,std_dev_thresh,0.15,0.13,0.03,0.13,1.0
138,2.0,0.01,True,True,ac1,1.0,1.0,1.0,1.0,1.0
139,2.0,0.01,True,True,ac1_thresh,1.0,1.0,1.0,1.0,1.0
140,2.0,0.01,True,True,iqr,1.0,1.0,0.06,1.0,1.0
141,2.0,0.01,True,True,iqr_thresh,1.0,1.0,0.06,1.0,1.0
142,2.0,0.01,True,True,std_dev,0.99,1.0,0.13,1.0,1.0
143,2.0,0.01,True,True,std_dev_thresh,0.99,1.0,0.75,1.0,1.0
144,2.0,0.02,False,False,ac1,0.11,0.27,0.0,0.27,1.0
145,2.0,0.02,False,False,ac1_thresh,0.04,0.19,0.0,0.19,1.0
146,2.0,0.02,False,False,iqr,0.2,0.14,0.04,0.14,1.0
147,2.0,0.02,False,False,iqr_thresh,0.16,0.09,0.04,0.09,1.0
148,2.0,0.02,False,False,std_dev,0.2,0.16,0.07,0.16,1.0
149,2.0,0.02,False,False,std_dev_thresh,0.1,0.05,0.02,0.05,1.0
150,2.0,0.02,False,True,ac1,1.0,1.0,1.0,1.0,1.0
151,2.0,0.02,False,True,ac1_thresh,0.99,1.0,0.99,1.0,1.0
152,2.0,0.02,False,True,iqr,1.0,1.0,0.0,1.0,1.0
153,2.0,0.02,False,True,iqr_thresh,0.83,1.0,0.14,1.0,1.0
154,2.0,0.02,False,True,std_dev,1.0,1.0,0.05,1.0,1.0
155,2.0,0.02,False,True,std_dev_thresh,0.99,1.0,0.76,1.0,1.0
156,2.0,0.02,True,False,ac1,0.2,0.34,0.01,0.34,1.0
