,alpha,sigma,only_negative_disturbances,ews,p_linear,p_kendalltau,p_theilsen,p_kendalltau_adj,valid
55,0.75,0.001,False,iqr,0.0875,0.09013157894736842,0.08881578947368421,0.08289473684210526,0.8
56,0.75,0.001,False,std_dev,0.14407894736842106,0.09342105263157895,0.02236842105263158,0.08289473684210526,0.8
57,0.75,0.001,True,ac1,0.09916094584286804,0.11746758199847444,0.06407322654462243,0.11060259344012205,0.69
58,0.75,0.001,True,iqr,0.09992372234935164,0.09534706331045004,0.08771929824561403,0.08848207475209764,0.69
59,0.75,0.001,True,std_dev,0.13882532418001525,0.08848207475209764,0.017543859649122806,0.08009153318077804,0.69
60,0.75,0.01,False,ac1,0.08906882591093117,0.12955465587044535,0.032388663967611336,0.11740890688259109,0.26
61,0.75,0.01,False,iqr,0.10323886639676114,0.09919028340080972,0.07692307692307693,0.08299595141700405,0.26
62,0.75,0.01,False,std_dev,0.09919028340080972,0.07489878542510121,0.008097165991902834,0.06275303643724696,0.26
63,0.75,0.01,True,ac1,0.11578947368421053,0.18421052631578946,0.05263157894736842,0.16842105263157894,0.1
64,0.75,0.01,True,iqr,0.11578947368421053,0.13157894736842105,0.07894736842105263,0.12105263157894737,0.1
65,0.75,0.01,True,std_dev,0.11052631578947368,0.08947368421052632,0.015789473684210527,0.06842105263157895,0.1
66,0.75,0.02,False,ac1,0.10526315789473684,0.13157894736842105,0.039473684210526314,0.11403508771929824,0.12
67,0.75,0.02,False,iqr,0.11403508771929824,0.10964912280701754,0.07456140350877193,0.09649122807017543,0.12
68,0.75,0.02,False,std_dev,0.09210526315789473,0.07017543859649122,0.0043859649122807015,0.05701754385964912,0.12
69,0.75,0.02,True,ac1,0.08771929824561403,0.17543859649122806,0.03508771929824561,0.17543859649122806,0.03
70,0.75,0.02,True,iqr,0.03508771929824561,0.12280701754385964,0.07017543859649122,0.12280701754385964,0.03
71,0.75,0.02,True,std_dev,0.05263157894736842,0.08771929824561403,0.017543859649122806,0.08771929824561403,0.03
72,0.75,0.05,False,ac1,0.08771929824561403,0.08771929824561403,0.05263157894736842,0.08771929824561403,0.03
73,0.75,0.05,False,iqr,0.14035087719298245,0.14035087719298245,0.10526315789473684,0.14035087719298245,0.03
74,0.75,0.05,False,std_dev,0.07017543859649122,0.05263157894736842,0.0,0.05263157894736842,0.03
75,0.75,0.1,False,ac1,0.05263157894736842,0.15789473684210525,0.05263157894736842,0.15789473684210525,0.01
76,0.75,0.1,False,iqr,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.01
77,0.75,0.1,False,std_dev,0.05263157894736842,0.0,0.0,0.0,0.01
78,1.0,1e-10,False,ac1,0.11421052631578947,0.10736842105263159,0.10157894736842105,0.09947368421052631,1.0
79,1.0,1e-10,False,iqr,0.09578947368421052,0.09631578947368422,0.09263157894736843,0.08947368421052632,1.0
80,1.0,1e-10,False,std_dev,0.09631578947368422,0.08736842105263158,0.09052631578947369,0.07947368421052632,1.0
81,1.0,1e-10,True,ac1,0.11421052631578947,0.10736842105263159,0.10157894736842105,0.09947368421052631,1.0
82,1.0,1e-10,True,iqr,0.09578947368421052,0.09631578947368422,0.09263157894736843,0.08947368421052632,1.0
83,1.0,1e-10,True,std_dev,0.09631578947368422,0.08736842105263158,0.09052631578947369,0.07947368421052632,1.0
84,1.0,1e-08,False,ac1,0.11421052631578947,0.10736842105263159,0.10157894736842105,0.09947368421052631,1.0
85,1.0,1e-08,False,iqr,0.09578947368421052,0.09631578947368422,0.09263157894736843,0.08947368421052632,1.0
86,1.0,1e-08,False,std_dev,0.09631578947368422,0.08736842105263158,0.09052631578947369,0.07947368421052632,1.0
87,1.0,1e-08,True,ac1,0.11421052631578947,0.10736842105263159,0.10157894736842105,0.09947368421052631,1.0
88,1.0,1e-08,True,iqr,0.09578947368421052,0.09631578947368422,0.09263157894736843,0.08947368421052632,1.0
89,1.0,1e-08,True,std_dev,0.09631578947368422,0.08736842105263158,0.09052631578947369,0.07947368421052632,1.0
90,1.0,1e-06,False,ac1,0.11421052631578947,0.10789473684210527,0.09947368421052631,0.1,1.0
91,1.0,1e-06,False,iqr,0.0968421052631579,0.09789473684210526,0.09105263157894737,0.09,1.0
92,1.0,1e-06,False,std_dev,0.09736842105263158,0.08842105263157894,0.09105263157894737,0.08052631578947368,1.0
93,1.0,1e-06,True,ac1,0.11421052631578947,0.10631578947368421,0.09947368421052631,0.09842105263157895,1.0
94,1.0,1e-06,True,iqr,0.09736842105263158,0.09631578947368422,0.09210526315789473,0.09,1.0
95,1.0,1e-06,True,std_dev,0.09631578947368422,0.08736842105263158,0.09052631578947369,0.07947368421052632,1.0
96,1.0,0.0001,False,ac1,0.11842105263157894,0.10736842105263159,0.1031578947368421,0.09736842105263158,1.0
97,1.0,0.0001,False,iqr,0.09526315789473684,0.09052631578947369,0.08894736842105264,0.08157894736842106,1.0
98,1.0,0.0001,False,std_dev,0.09263157894736843,0.08526315789473685,0.07368421052631578,0.07526315789473684,1.0
99,1.0,0.0001,True,ac1,0.11578947368421053,0.11052631578947368,0.10263157894736842,0.10210526315789474,1.0
100,1.0,0.0001,True,iqr,0.09789473684210526,0.09210526315789473,0.09157894736842105,0.08736842105263158,1.0
101,1.0,0.0001,True,std_dev,0.1031578947368421,0.08526315789473685,0.07526315789473684,0.07789473684210527,1.0
102,1.0,0.001,False,ac1,0.10687432867883996,0.11278195488721804,0.08431793770139635,0.10472610096670247,0.98
103,1.0,0.001,False,iqr,0.09505907626208378,0.08968850698174007,0.08754027926960257,0.08163265306122448,0.98
104,1.0,0.001,False,std_dev,0.12244897959183673,0.09720730397422127,0.04296455424274973,0.08700322234156821,0.98
105,1.0,0.001,True,ac1,0.11177428106348346,0.1155724362452523,0.08572978838849701,0.10960390667390124,0.97
106,1.0,0.001,True,iqr,0.09386869234943028,0.09929462832338579,0.08952794357026587,0.09169831795984808,0.97
107,1.0,0.001,True,std_dev,0.12208355941399891,0.08681497558328811,0.03906673901247965,0.07759088442756376,0.97
108,1.0,0.01,False,ac1,0.10278637770897833,0.13560371517027864,0.04829721362229102,0.11826625386996904,0.85
109,1.0,0.01,False,iqr,0.09659442724458205,0.0978328173374613,0.08297213622291022,0.08297213622291022,0.85
110,1.0,0.01,False,std_dev,0.1238390092879257,0.10340557275541795,0.022910216718266253,0.09102167182662539,0.85
111,1.0,0.01,True,ac1,0.08524833209785027,0.12527798369162343,0.05782060785767235,0.11712379540400296,0.71
112,1.0,0.01,True,iqr,0.08747220163083766,0.09191994069681246,0.07783543365455893,0.08154188287620459,0.71
113,1.0,0.01,True,std_dev,0.12008895478131949,0.08005930318754632,0.020756115641215715,0.07338769458858414,0.71
114,1.0,0.02,False,ac1,0.09785025945144551,0.14455151964418086,0.05263157894736842,0.12379540400296515,0.71
115,1.0,0.02,False,iqr,0.09117865085248332,0.09488510007412898,0.07561156412157154,0.08228317272053373,0.71
116,1.0,0.02,False,std_dev,0.13046701260192736,0.10303928836174944,0.025203854707190512,0.0904373610081542,0.71
117,1.0,0.02,True,ac1,0.08646616541353383,0.13815789473684212,0.05075187969924812,0.12781954887218044,0.56
118,1.0,0.02,True,iqr,0.08270676691729323,0.07894736842105263,0.06015037593984962,0.07330827067669173,0.56
119,1.0,0.02,True,std_dev,0.1137218045112782,0.07518796992481203,0.019736842105263157,0.06766917293233082,0.56
120,1.0,0.05,False,ac1,0.0851063829787234,0.13101903695408734,0.05375139977603583,0.11086226203807391,0.47
121,1.0,0.05,False,iqr,0.08958566629339305,0.083986562150056,0.06606942889137737,0.07054871220604703,0.47
122,1.0,0.05,False,std_dev,0.12877939529675253,0.10302351623740201,0.027995520716685332,0.08734602463605823,0.47
123,1.0,0.05,True,ac1,0.0935672514619883,0.14035087719298245,0.05263157894736842,0.12573099415204678,0.18
124,1.0,0.05,True,iqr,0.09941520467836257,0.09941520467836257,0.06140350877192982,0.0935672514619883,0.18
125,1.0,0.05,True,std_dev,0.08771929824561403,0.06725146198830409,0.014619883040935672,0.06432748538011696,0.18
126,1.0,0.1,False,ac1,0.07309941520467836,0.13157894736842105,0.043859649122807015,0.11695906432748537,0.18
127,1.0,0.1,False,iqr,0.10526315789473684,0.1023391812865497,0.07017543859649122,0.09941520467836257,0.18
128,1.0,0.1,False,std_dev,0.10526315789473684,0.07894736842105263,0.02046783625730994,0.07017543859649122,0.18
129,1.0,0.1,True,ac1,0.09774436090225563,0.12030075187969924,0.03759398496240601,0.11278195488721804,0.07
130,1.0,0.1,True,iqr,0.06766917293233082,0.06015037593984962,0.05263157894736842,0.06015037593984962,0.07
131,1.0,0.1,True,std_dev,0.09022556390977443,0.05263157894736842,0.007518796992481203,0.05263157894736842,0.07
132,1.0,0.2,False,ac1,0.09774436090225563,0.12030075187969924,0.05263157894736842,0.11278195488721804,0.07
133,1.0,0.2,False,iqr,0.12030075187969924,0.09774436090225563,0.07518796992481203,0.09022556390977443,0.07
134,1.0,0.2,False,std_dev,0.07518796992481203,0.06766917293233082,0.022556390977443608,0.06015037593984962,0.07
135,1.25,1e-10,False,ac1,0.11421052631578947,0.10736842105263159,0.10157894736842105,0.09947368421052631,1.0
