,alpha,sigma,only_negative_disturbances,add_short_timescale,ews,p_linear,p_kendalltau,p_theilsen,p_kendalltau_adj,valid
80,0.5,0.0001,False,True,iqr,0.20588235294117646,0.9411764705882353,0.08823529411764706,0.9117647058823529,0.34
81,0.5,0.0001,False,True,iqr_thresh,0.20588235294117646,0.9411764705882353,0.08823529411764706,0.9117647058823529,0.34
82,0.5,0.0001,False,True,std_dev,0.11764705882352941,0.7058823529411765,0.0,0.6764705882352942,0.34
83,0.5,0.0001,False,True,std_dev_thresh,0.14705882352941177,0.8823529411764706,0.058823529411764705,0.8529411764705882,0.34
84,0.5,0.0001,True,False,ac1,0.1,0.1,0.0,0.1,0.1
85,0.5,0.0001,True,False,ac1_thresh,0.1,0.1,0.0,0.1,0.1
86,0.5,0.0001,True,False,iqr,0.0,0.2,0.0,0.2,0.1
87,0.5,0.0001,True,False,iqr_thresh,0.0,0.2,0.0,0.2,0.1
88,0.5,0.0001,True,False,std_dev,0.0,0.0,0.0,0.0,0.1
89,0.5,0.0001,True,False,std_dev_thresh,0.0,0.1,0.0,0.1,0.1
90,0.5,0.0001,True,True,ac1,0.5,0.3,0.5,0.3,0.1
91,0.5,0.0001,True,True,ac1_thresh,0.5,0.5,0.5,0.5,0.1
92,0.5,0.0001,True,True,iqr,0.2,0.7,0.1,0.6,0.1
93,0.5,0.0001,True,True,iqr_thresh,0.2,0.7,0.1,0.6,0.1
94,0.5,0.0001,True,True,std_dev,0.0,0.4,0.0,0.3,0.1
95,0.5,0.0001,True,True,std_dev_thresh,0.2,0.6,0.1,0.5,0.1
96,0.5,0.001,False,False,ac1,0.0,0.0,0.0,0.0,0.05
97,0.5,0.001,False,False,ac1_thresh,0.0,0.2,0.0,0.2,0.05
98,0.5,0.001,False,False,iqr,0.0,0.0,0.0,0.0,0.05
99,0.5,0.001,False,False,iqr_thresh,0.0,0.0,0.0,0.0,0.05
100,0.5,0.001,False,False,std_dev,0.0,0.0,0.0,0.0,0.05
101,0.5,0.001,False,False,std_dev_thresh,0.0,0.0,0.0,0.0,0.05
102,0.5,0.001,False,True,ac1,0.0,0.2,0.2,0.2,0.05
103,0.5,0.001,False,True,ac1_thresh,0.0,0.2,0.2,0.2,0.05
104,0.5,0.001,False,True,iqr,0.0,0.2,0.0,0.2,0.05
105,0.5,0.001,False,True,iqr_thresh,0.0,0.2,0.0,0.2,0.05
106,0.5,0.001,False,True,std_dev,0.0,0.2,0.0,0.2,0.05
107,0.5,0.001,False,True,std_dev_thresh,0.0,0.2,0.0,0.2,0.05
108,0.5,0.001,True,False,ac1,0.0,0.0,0.0,0.0,0.01
109,0.5,0.001,True,False,ac1_thresh,0.0,0.0,0.0,0.0,0.01
110,0.5,0.001,True,False,iqr,0.0,0.0,0.0,0.0,0.01
111,0.5,0.001,True,False,iqr_thresh,0.0,0.0,0.0,0.0,0.01
112,0.5,0.001,True,False,std_dev,0.0,0.0,0.0,0.0,0.01
113,0.5,0.001,True,False,std_dev_thresh,0.0,0.0,0.0,0.0,0.01
114,0.5,0.001,True,True,ac1,0.0,0.0,0.0,0.0,0.01
115,0.5,0.001,True,True,ac1_thresh,0.0,0.0,0.0,0.0,0.01
116,0.5,0.001,True,True,iqr,0.0,1.0,0.0,1.0,0.01
117,0.5,0.001,True,True,iqr_thresh,0.0,1.0,0.0,1.0,0.01
118,0.5,0.001,True,True,std_dev,0.0,0.0,0.0,0.0,0.01
119,0.5,0.001,True,True,std_dev_thresh,0.0,0.0,0.0,0.0,0.01
120,0.75,1e-10,False,False,ac1,0.11,0.11,0.03,0.11,1.0
121,0.75,1e-10,False,False,ac1_thresh,0.03,0.08,0.01,0.08,1.0
122,0.75,1e-10,False,False,iqr,0.13,0.12,0.06,0.12,1.0
123,0.75,1e-10,False,False,iqr_thresh,0.12,0.14,0.08,0.14,1.0
124,0.75,1e-10,False,False,std_dev,0.14,0.12,0.08,0.12,1.0
125,0.75,1e-10,False,False,std_dev_thresh,0.08,0.06,0.07,0.06,1.0
126,0.75,1e-10,False,True,ac1,1.0,1.0,1.0,1.0,1.0
127,0.75,1e-10,False,True,ac1_thresh,0.99,1.0,1.0,1.0,1.0
128,0.75,1e-10,False,True,iqr,1.0,1.0,0.69,1.0,1.0
129,0.75,1e-10,False,True,iqr_thresh,0.94,1.0,0.79,1.0,1.0
130,0.75,1e-10,False,True,std_dev,1.0,1.0,0.97,1.0,1.0
131,0.75,1e-10,False,True,std_dev_thresh,1.0,1.0,1.0,1.0,1.0
132,0.75,1e-10,True,False,ac1,0.11,0.11,0.03,0.11,1.0
133,0.75,1e-10,True,False,ac1_thresh,0.03,0.08,0.01,0.08,1.0
134,0.75,1e-10,True,False,iqr,0.13,0.12,0.06,0.12,1.0
135,0.75,1e-10,True,False,iqr_thresh,0.12,0.14,0.08,0.14,1.0
136,0.75,1e-10,True,False,std_dev,0.14,0.12,0.08,0.12,1.0
137,0.75,1e-10,True,False,std_dev_thresh,0.08,0.06,0.07,0.06,1.0
138,0.75,1e-10,True,True,ac1,1.0,1.0,1.0,1.0,1.0
139,0.75,1e-10,True,True,ac1_thresh,0.99,1.0,1.0,1.0,1.0
140,0.75,1e-10,True,True,iqr,1.0,1.0,0.69,1.0,1.0
141,0.75,1e-10,True,True,iqr_thresh,0.94,1.0,0.79,1.0,1.0
142,0.75,1e-10,True,True,std_dev,1.0,1.0,0.97,1.0,1.0
143,0.75,1e-10,True,True,std_dev_thresh,1.0,1.0,1.0,1.0,1.0
144,0.75,1e-08,False,False,ac1,0.1,0.1,0.03,0.1,1.0
145,0.75,1e-08,False,False,ac1_thresh,0.03,0.08,0.01,0.08,1.0
146,0.75,1e-08,False,False,iqr,0.13,0.12,0.06,0.12,1.0
147,0.75,1e-08,False,False,iqr_thresh,0.12,0.14,0.08,0.14,1.0
148,0.75,1e-08,False,False,std_dev,0.13,0.11,0.08,0.11,1.0
149,0.75,1e-08,False,False,std_dev_thresh,0.08,0.06,0.07,0.06,1.0
150,0.75,1e-08,False,True,ac1,1.0,1.0,1.0,1.0,1.0
151,0.75,1e-08,False,True,ac1_thresh,0.99,1.0,1.0,1.0,1.0
152,0.75,1e-08,False,True,iqr,1.0,1.0,0.68,1.0,1.0
153,0.75,1e-08,False,True,iqr_thresh,0.94,1.0,0.79,1.0,1.0
154,0.75,1e-08,False,True,std_dev,1.0,1.0,0.97,1.0,1.0
155,0.75,1e-08,False,True,std_dev_thresh,1.0,1.0,1.0,1.0,1.0
156,0.75,1e-08,True,False,ac1,0.1,0.11,0.03,0.11,1.0
157,0.75,1e-08,True,False,ac1_thresh,0.03,0.08,0.01,0.08,1.0
158,0.75,1e-08,True,False,iqr,0.13,0.12,0.06,0.12,1.0
159,0.75,1e-08,True,False,iqr_thresh,0.12,0.14,0.08,0.14,1.0
160,0.75,1e-08,True,False,std_dev,0.14,0.12,0.08,0.12,1.0
161,0.75,1e-08,True,False,std_dev_thresh,0.08,0.06,0.07,0.06,1.0
162,0.75,1e-08,True,True,ac1,1.0,1.0,1.0,1.0,1.0
163,0.75,1e-08,True,True,ac1_thresh,0.99,1.0,1.0,1.0,1.0
164,0.75,1e-08,True,True,iqr,1.0,1.0,0.69,1.0,1.0
165,0.75,1e-08,True,True,iqr_thresh,0.94,1.0,0.79,1.0,1.0
166,0.75,1e-08,True,True,std_dev,1.0,1.0,0.97,1.0,1.0
167,0.75,1e-08,True,True,std_dev_thresh,1.0,1.0,1.0,1.0,1.0
168,0.75,1e-06,False,False,ac1,0.1,0.1,0.03,0.1,1.0
169,0.75,1e-06,False,False,ac1_thresh,0.04,0.1,0.02,0.1,1.0
170,0.75,1e-06,False,False,iqr,0.12,0.11,0.05,0.11,1.0
171,0.75,1e-06,False,False,iqr_thresh,0.09,0.12,0.06,0.12,1.0
172,0.75,1e-06,False,False,std_dev,0.13,0.1,0.08,0.1,1.0
173,0.75,1e-06,False,False,std_dev_thresh,0.06,0.05,0.05,0.05,1.0
174,0.75,1e-06,False,True,ac1,1.0,1.0,1.0,1.0,1.0
175,0.75,1e-06,False,True,ac1_thresh,0.99,1.0,1.0,1.0,1.0
176,0.75,1e-06,False,True,iqr,0.99,1.0,0.68,1.0,1.0
177,0.75,1e-06,False,True,iqr_thresh,0.93,1.0,0.76,1.0,1.0
178,0.75,1e-06,False,True,std_dev,0.97,1.0,0.93,1.0,1.0
