,alpha,sigma,only_negative_disturbances,ews,p_linear,p_kendalltau,p_theilsen,p_kendalltau_adj,valid
85,1.0,1e-08,False,iqr,1.0,1.0,0.86,1.0,1.0
86,1.0,1e-08,False,std_dev,1.0,1.0,0.91,1.0,1.0
87,1.0,1e-08,True,ac1,1.0,1.0,1.0,1.0,1.0
88,1.0,1e-08,True,iqr,1.0,1.0,0.86,1.0,1.0
89,1.0,1e-08,True,std_dev,1.0,1.0,0.91,1.0,1.0
90,1.0,1e-06,False,ac1,1.0,1.0,1.0,1.0,1.0
91,1.0,1e-06,False,iqr,1.0,1.0,0.86,1.0,1.0
92,1.0,1e-06,False,std_dev,1.0,1.0,0.9,1.0,1.0
93,1.0,1e-06,True,ac1,1.0,1.0,1.0,1.0,1.0
94,1.0,1e-06,True,iqr,1.0,1.0,0.86,1.0,1.0
95,1.0,1e-06,True,std_dev,1.0,1.0,0.9,1.0,1.0
96,1.0,0.0001,False,ac1,1.0,1.0,1.0,1.0,1.0
97,1.0,0.0001,False,iqr,1.0,1.0,0.82,1.0,1.0
98,1.0,0.0001,False,std_dev,0.86,1.0,0.66,1.0,1.0
99,1.0,0.0001,True,ac1,1.0,1.0,1.0,1.0,1.0
100,1.0,0.0001,True,iqr,1.0,1.0,0.81,1.0,1.0
101,1.0,0.0001,True,std_dev,0.87,1.0,0.67,1.0,1.0
102,1.0,0.001,False,ac1,1.0,1.0,1.0,1.0,0.98
103,1.0,0.001,False,iqr,0.9795918367346939,1.0,0.6938775510204082,1.0,0.98
104,1.0,0.001,False,std_dev,0.30612244897959184,0.9897959183673469,0.08163265306122448,0.9897959183673469,0.98
105,1.0,0.001,True,ac1,0.9896907216494846,0.9896907216494846,0.9896907216494846,0.9896907216494846,0.97
106,1.0,0.001,True,iqr,0.9896907216494846,1.0,0.6701030927835051,1.0,0.97
107,1.0,0.001,True,std_dev,0.31958762886597936,0.9896907216494846,0.061855670103092786,0.9896907216494846,0.97
108,1.0,0.01,False,ac1,0.9647058823529412,0.9647058823529412,0.9647058823529412,0.9647058823529412,0.85
109,1.0,0.01,False,iqr,0.9529411764705882,0.9647058823529412,0.18823529411764706,0.9647058823529412,0.85
110,1.0,0.01,False,std_dev,0.09411764705882353,0.49411764705882355,0.0,0.49411764705882355,0.85
111,1.0,0.01,True,ac1,0.971830985915493,0.971830985915493,0.9577464788732394,0.971830985915493,0.71
112,1.0,0.01,True,iqr,0.9436619718309859,0.9436619718309859,0.15492957746478872,0.9436619718309859,0.71
113,1.0,0.01,True,std_dev,0.07042253521126761,0.5070422535211268,0.0,0.5070422535211268,0.71
114,1.0,0.02,False,ac1,0.971830985915493,0.971830985915493,0.971830985915493,0.971830985915493,0.71
115,1.0,0.02,False,iqr,0.971830985915493,0.971830985915493,0.18309859154929578,0.971830985915493,0.71
116,1.0,0.02,False,std_dev,0.09859154929577464,0.4225352112676056,0.0,0.4225352112676056,0.71
117,1.0,0.02,True,ac1,0.9642857142857143,0.9821428571428571,0.9642857142857143,0.9821428571428571,0.56
118,1.0,0.02,True,iqr,0.875,0.8928571428571429,0.14285714285714285,0.8928571428571429,0.56
119,1.0,0.02,True,std_dev,0.08928571428571429,0.4642857142857143,0.0,0.4642857142857143,0.56
120,1.0,0.05,False,ac1,0.9361702127659575,0.9361702127659575,0.8723404255319149,0.9361702127659575,0.47
121,1.0,0.05,False,iqr,0.8723404255319149,0.9148936170212766,0.23404255319148937,0.9148936170212766,0.47
122,1.0,0.05,False,std_dev,0.10638297872340426,0.3404255319148936,0.0,0.3404255319148936,0.47
123,1.0,0.05,True,ac1,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.18
124,1.0,0.05,True,iqr,0.3888888888888889,0.5,0.05555555555555555,0.5,0.18
125,1.0,0.05,True,std_dev,0.0,0.16666666666666666,0.0,0.16666666666666666,0.18
126,1.0,0.1,False,ac1,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.18
127,1.0,0.1,False,iqr,0.5,0.6111111111111112,0.16666666666666666,0.6111111111111112,0.18
128,1.0,0.1,False,std_dev,0.1111111111111111,0.16666666666666666,0.0,0.16666666666666666,0.18
129,1.0,0.1,True,ac1,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.07
130,1.0,0.1,True,iqr,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.07
131,1.0,0.1,True,std_dev,0.0,0.0,0.0,0.0,0.07
132,1.0,0.2,False,ac1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.07
133,1.0,0.2,False,iqr,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,0.07
134,1.0,0.2,False,std_dev,0.0,0.0,0.0,0.0,0.07
135,1.25,1e-10,False,ac1,1.0,1.0,1.0,1.0,1.0
136,1.25,1e-10,False,iqr,1.0,1.0,0.86,1.0,1.0
137,1.25,1e-10,False,std_dev,1.0,1.0,0.91,1.0,1.0
138,1.25,1e-10,True,ac1,1.0,1.0,1.0,1.0,1.0
139,1.25,1e-10,True,iqr,1.0,1.0,0.86,1.0,1.0
140,1.25,1e-10,True,std_dev,1.0,1.0,0.91,1.0,1.0
141,1.25,1e-08,False,ac1,1.0,1.0,1.0,1.0,1.0
142,1.25,1e-08,False,iqr,1.0,1.0,0.86,1.0,1.0
143,1.25,1e-08,False,std_dev,1.0,1.0,0.91,1.0,1.0
144,1.25,1e-08,True,ac1,1.0,1.0,1.0,1.0,1.0
145,1.25,1e-08,True,iqr,1.0,1.0,0.86,1.0,1.0
146,1.25,1e-08,True,std_dev,1.0,1.0,0.91,1.0,1.0
147,1.25,1e-06,False,ac1,1.0,1.0,1.0,1.0,1.0
148,1.25,1e-06,False,iqr,1.0,1.0,0.86,1.0,1.0
149,1.25,1e-06,False,std_dev,1.0,1.0,0.91,1.0,1.0
150,1.25,1e-06,True,ac1,1.0,1.0,1.0,1.0,1.0
151,1.25,1e-06,True,iqr,1.0,1.0,0.86,1.0,1.0
152,1.25,1e-06,True,std_dev,1.0,1.0,0.91,1.0,1.0
153,1.25,0.0001,False,ac1,1.0,1.0,1.0,1.0,1.0
154,1.25,0.0001,False,iqr,1.0,1.0,0.84,1.0,1.0
155,1.25,0.0001,False,std_dev,0.99,1.0,0.84,1.0,1.0
156,1.25,0.0001,True,ac1,1.0,1.0,1.0,1.0,1.0
157,1.25,0.0001,True,iqr,1.0,1.0,0.83,1.0,1.0
158,1.25,0.0001,True,std_dev,0.96,1.0,0.84,1.0,1.0
159,1.25,0.001,False,ac1,1.0,1.0,1.0,1.0,1.0
160,1.25,0.001,False,iqr,1.0,1.0,0.79,1.0,1.0
161,1.25,0.001,False,std_dev,0.72,1.0,0.49,1.0,1.0
162,1.25,0.001,True,ac1,1.0,1.0,1.0,1.0,1.0
163,1.25,0.001,True,iqr,1.0,1.0,0.77,1.0,1.0
164,1.25,0.001,True,std_dev,0.7,1.0,0.45,1.0,1.0
165,1.25,0.01,False,ac1,0.9896907216494846,0.9896907216494846,0.9896907216494846,0.9896907216494846,0.97
166,1.25,0.01,False,iqr,0.9896907216494846,0.9896907216494846,0.4329896907216495,0.9896907216494846,0.97
